Region,Year,PIN
Venezuela,1996,84
Venezuela,1995,79
Venezuela,1994,79
Venezuela,1993,83
Venezuela,1992,77
Venezuela,1991,72
Venezuela,1990,73
Venezuela,1989,65
Venezuela,1988,69
Venezuela,1987,63
Venezuela,1986,65
Venezuela,1985,66
Venezuela,1984,62
Venezuela,1983,63
Venezuela,1982,59
Venezuela,1981,58
Venezuela,1980,55
Venezuela,1979,50
Venezuela,1978,47
Venezuela,1977,43
Venezuela,1976,42
Venezuela,1975,42
Venezuela,1974,39
Venezuela,1973,38
Venezuela,1972,36
Venezuela,1971,34
Venezuela,1970,32
Venezuela,1969,31
Venezuela,1968,28
Venezuela,1967,26
Venezuela,1966,25
Venezuela,1965,23
Venezuela,1964,22
Venezuela,1963,20
Venezuela,1962,19
Venezuela,1961,18
Vietnam,2007,125
Vietnam,2006,123
Vietnam,2005,122
Vietnam,2004,117
Vietnam,2003,111
Vietnam,2002,117
Vietnam,2001,107
Vietnam,2000,100
Vietnam,1999,92
Vietnam,1998,77
Vietnam,1997,73
Vietnam,1996,66
Vietnam,1995,64
Vietnam,1994,61
Vietnam,1993,56
Vietnam,1992,55
Vietnam,1991,49
Vietnam,1990,50
Vietnam,1989,48
Vietnam,1988,46
Vietnam,1987,46
Vietnam,1986,42
Vietnam,1985,40
Vietnam,1984,38
Vietnam,1983,37
Vietnam,1982,32
Vietnam,1981,29
Vietnam,1980,24
Vietnam,1979,23
Vietnam,1978,22
Vietnam,1977,21
Vietnam,1976,20
Vietnam,1975,20
Vietnam,1974,22
Vietnam,1973,22
Vietnam,1972,22
Vietnam,1971,21
Vietnam,1970,21
Vietnam,1969,21
Vietnam,1968,22
Vietnam,1967,22
Vietnam,1966,21
Vietnam,1965,21
Vietnam,1964,20
Vietnam,1963,19
Vietnam,1962,19
Vietnam,1961,18
Wallis and Futuna Islands,2007,101
Wallis and Futuna Islands,2006,101
Wallis and Futuna Islands,2005,99
Wallis and Futuna Islands,2004,99
Wallis and Futuna Islands,2003,100
Wallis and Futuna Islands,2002,100
Wallis and Futuna Islands,2001,100
Wallis and Futuna Islands,2000,100
Wallis and Futuna Islands,1999,100
Wallis and Futuna Islands,1998,100
Wallis and Futuna Islands,1997,100
Wallis and Futuna Islands,1996,100
Wallis and Futuna Islands,1995,100
Wallis and Futuna Islands,1994,100
Wallis and Futuna Islands,1993,100
Wallis and Futuna Islands,1992,98
Wallis and Futuna Islands,1991,96
Wallis and Futuna Islands,1990,95
Wallis and Futuna Islands,1989,94
Wallis and Futuna Islands,1988,93
Wallis and Futuna Islands,1987,92
Wallis and Futuna Islands,1986,91
Wallis and Futuna Islands,1985,91
Wallis and Futuna Islands,1984,83
Wallis and Futuna Islands,1983,83
Wallis and Futuna Islands,1982,83
Wallis and Futuna Islands,1981,77
Wallis and Futuna Islands,1980,77
Wallis and Futuna Islands,1979,79
Wallis and Futuna Islands,1978,78
Wallis and Futuna Islands,1977,50
Wallis and Futuna Islands,1976,51
Wallis and Futuna Islands,1975,53
Wallis and Futuna Islands,1974,52
Wallis and Futuna Islands,1973,53
Wallis and Futuna Islands,1972,54
Wallis and Futuna Islands,1971,54
Wallis and Futuna Islands,1970,54
Wallis and Futuna Islands,1969,53
Wallis and Futuna Islands,1968,53
Wallis and Futuna Islands,1967,53
Wallis and Futuna Islands,1966,49
Wallis and Futuna Islands,1965,48
Wallis and Futuna Islands,1964,47
Wallis and Futuna Islands,1963,47
Wallis and Futuna Islands,1962,47
Wallis and Futuna Islands,1961,47
Western Sahara,2007,98
Western Sahara,2006,98
Western Sahara,2005,101
Western Sahara,2004,101
Western Sahara,2003,101
Western Sahara,2002,100
Western Sahara,2001,100
Western Sahara,2000,100
Western Sahara,1999,98
Western Sahara,1998,97
Western Sahara,1997,96
Western Sahara,1996,95
Western Sahara,1995,94
Western Sahara,1994,93
Western Sahara,1993,92
Western Sahara,1992,91
Western Sahara,1991,90
Western Sahara,1990,89
Western Sahara,1989,87
Western Sahara,1988,86
Western Sahara,1987,84
Western Sahara,1986,83
Western Sahara,1985,81
Western Sahara,1984,79
Western Sahara,1983,78
Western Sahara,1982,76
Western Sahara,1981,76
Western Sahara,1980,74
Western Sahara,1979,74
Western Sahara,1978,72
Western Sahara,1977,70
Western Sahara,1976,67
Western Sahara,1975,64
Western Sahara,1974,61
Western Sahara,1973,61
Western Sahara,1972,65
Western Sahara,1971,61
Western Sahara,1970,59
Western Sahara,1969,54
Western Sahara,1968,42
Western Sahara,1967,32
Western Sahara,1966,25
Western Sahara,1965,14
Western Sahara,1964,17
Western Sahara,1963,17
Western Sahara,1962,17
Western Sahara,1961,29
Yemen,2007,133
Yemen,2006,131
Yemen,2005,132
Yemen,2004,132
Yemen,2003,132
Yemen,2002,112
Yemen,2001,110
Yemen,2000,99
Yemen,1999,89
Yemen,1998,87
Yemen,1997,84
Yemen,1996,80
Yemen,1995,74
Yemen,1994,76
Yemen,1993,74
Yemen,1992,69
Yemen,1991,65
Yemen,1990,63
Yemen,1989,69
Yemen,1988,69
Yemen,1987,57
Yemen,1986,60
Yemen,1985,57
Yemen,1984,52
Yemen,1983,47
Yemen,1982,45
Yemen,1981,44
Yemen,1980,43
Yemen,1979,40
Yemen,1978,39
Yemen,1977,37
Yemen,1976,33
Yemen,1975,35
Yemen,1974,33
Yemen,1973,30
Yemen,1972,30
Yemen,1971,30
Yemen,1970,27
Yemen,1969,28
Yemen,1968,31
Yemen,1967,34
Yemen,1966,33
Yemen,1965,34
Yemen,1964,34
Yemen,1963,33
Yemen,1962,33
Yemen,1961,33
Zambia,2007,106
Zambia,2006,106
Zambia,2005,110
Zambia,2004,105
Zambia,2003,107
Zambia,2002,107
Zambia,2001,102
Zambia,2000,98
Zambia,1999,99
Zambia,1998,93
Zambia,1997,88
Zambia,1996,82
Zambia,1995,81
Zambia,1994,85
Zambia,1993,87
Zambia,1992,86
Zambia,1991,86
Zambia,1990,82
Zambia,1989,66
Zambia,1988,64
Zambia,1987,62
Zambia,1986,61
Zambia,1985,59
Zambia,1984,54
Zambia,1983,58
Zambia,1982,62
Zambia,1981,59
Zambia,1980,61
Zambia,1979,58
Zambia,1978,58
Zambia,1977,58
Zambia,1976,58
Zambia,1975,53
Zambia,1974,48
Zambia,1973,46
Zambia,1972,44
Zambia,1971,41
Zambia,1970,42
Zambia,1969,40
Zambia,1968,40
Zambia,1967,37
Zambia,1966,36
Zambia,1965,34
Zambia,1964,32
Zambia,1963,31
Zambia,1962,30
Zambia,1961,30
Zimbabwe,2007,97
Zimbabwe,2006,97
Zimbabwe,2005,103
Zimbabwe,2004,101
Zimbabwe,2003,101
Zimbabwe,2002,102
Zimbabwe,2001,103
Zimbabwe,2000,102
Zimbabwe,1999,93
Zimbabwe,1998,82
Zimbabwe,1997,78
Zimbabwe,1996,77
Zimbabwe,1995,83
Zimbabwe,1994,81
Zimbabwe,1993,82
Zimbabwe,1992,93
Zimbabwe,1991,86
Zimbabwe,1990,88
Zimbabwe,1989,82
Zimbabwe,1988,84
Zimbabwe,1987,85
Zimbabwe,1986,76
Zimbabwe,1985,80
Zimbabwe,1984,82
Zimbabwe,1983,77
Zimbabwe,1982,75
Zimbabwe,1981,70
Zimbabwe,1980,75
Zimbabwe,1979,85
Zimbabwe,1978,92
Zimbabwe,1977,95
Zimbabwe,1976,88
Zimbabwe,1975,79
Zimbabwe,1974,79
Zimbabwe,1973,94
Zimbabwe,1972,87
Zimbabwe,1971,76
Zimbabwe,1970,64
Zimbabwe,1969,58
Zimbabwe,1968,55
Zimbabwe,1967,51
Zimbabwe,1966,56
Zimbabwe,1965,50
Zimbabwe,1964,48
Zimbabwe,1963,49
Zimbabwe,1962,49
Zimbabwe,1961,49
